SampleID	Stemness	EXTENDScores	Phase	Senescence	ClusterNo	ClusterMean	EXTENDclass
HN26_P26_H11_S383_comb	0.615741141	0.558406959	NonCycling	0.298568237238472	2	0.532642676004338	High
HN26_P5_A07_S7_comb	0.812018501	0.547659157	G1_S	0.29098693769937	2	0.532642676004338	High
HN26_P5_A09_S9_comb	0.556429644	0.419922978	NonCycling	0.336464829881114	2	0.532642676004338	High
HN26_P5_D01_S37_comb	0.56344671	0.276459412	NonCycling	0.355191057919096	1	0.27526248594617	Low
HN26_P5_D09_S45_comb	0.4735941	0.258161013	NonCycling	0.196153094950149	1	0.27526248594617	Low
HN26_P5_E06_S54_comb	0.71577015	0.491065046	G2_M	0.339810822318619	2	0.532642676004338	High
HN26_P5_F02_S62_comb	0.628623309	0.299268791	G2_M	0.133694388439765	1	0.27526248594617	Low
HN26_P5_G06_S78_comb	0.723432863	0.4751231	NonCycling	0.371403207209155	2	0.532642676004338	High
HN26_P5_H08_S92_comb	0.849322135	0.48948187	G2_M	0.18070365957958	2	0.532642676004338	High
HN26_P5_H10_S94_comb	0.429490314	0.213277369	NonCycling	0.310526403113683	1	0.27526248594617	Low
HN26_P6_A04_S4_comb	0.555855464	0.336426072	NonCycling	0.319280661613757	1	0.27526248594617	Low
HN26_P6_A09_S9_comb	0.618745598	0.402610237	G2_M	0.280072931658279	1	0.27526248594617	Low
HN26_P6_B04_S16_comb	0.616844753	0.412678387	NonCycling	0.352166365567952	2	0.532642676004338	High
HN26_P6_B05_S17_comb	0.745536679	0.363575226	G2_M	0.364205203456462	1	0.27526248594617	Low
HN26_P6_B08_S20_comb	0.60616789	0.2829749	NonCycling	0.313410212753592	1	0.27526248594617	Low
HN26_P6_C06_S30_comb	0.595563691	0.387232537	NonCycling	0.300814579323655	1	0.27526248594617	Low
HN26_P6_D05_S41_comb	0.562560072	0.195660381	NonCycling	0.481994367285756	1	0.27526248594617	Low
HN26_P6_D08_S44_comb	0.488652529	0.204391728	NonCycling	0.253026185217228	1	0.27526248594617	Low
HN26_P6_E03_S51_comb	0.633825268	0.461471737	NonCycling	0.442355559471057	2	0.532642676004338	High
HN26_P6_G01_S73_comb	0.534814909	0.34337964	NonCycling	0.268330745327486	1	0.27526248594617	Low
HN26_P6_G07_S79_comb	0.469973297	0.342019977	NonCycling	0.314819846824367	1	0.27526248594617	Low
HN26_P6_H04_S88_comb	0.363969087	0.291720818	NonCycling	0.372267144313257	1	0.27526248594617	Low
HN26_P6_H06_S90_comb	0.645072498	0.393240272	G1_S	0.395046934953989	1	0.27526248594617	Low
HN28_P14_A05_S101_comb	0.514517635	0.204349067	NonCycling	0.439007836691585	1	0.27526248594617	Low
HN28_P14_C10_S130_comb	0.469346557	0.468962165	NonCycling	0.389957593586828	2	0.532642676004338	High
HN28_P14_D07_S139_comb	0.797541381	0.541058998	G2_M	0.397734472585165	2	0.532642676004338	High
HN28_P14_G02_S170_comb	0.564408523	0.194354596	NonCycling	0.351462075960738	1	0.27526248594617	Low
HN28_P14_H12_S192_comb	0.651638933	0.46126002	NonCycling	0.389753430557097	2	0.532642676004338	High
HN28_P15_B02_S302_comb	0.744359373	0.509311056	G1_S	0.358410068775061	2	0.532642676004338	High
HN28_P15_C02_S314_comb	0.795626734	0.346675977	G2_M	0.334061264462786	1	0.27526248594617	Low
HN28_P15_D05_S329_comb	0.760793818	0.51696221	G1_S	0.336732725680036	2	0.532642676004338	High
HN28_P15_D08_S332_comb	0.603791574	0.549195747	G1_S	0.507878932170683	2	0.532642676004338	High
HN28_P15_D10_S334_comb	0.447613021	0.170910864	NonCycling	0.469903735746941	1	0.27526248594617	Low
HN28_P15_D12_S336_comb	0.674887894	0.4301302	G1_S	0.423144001114769	2	0.532642676004338	High
HN28_P15_E01_S337_comb	0.568005067	0.362835122	NonCycling	0.374856860241255	1	0.27526248594617	Low
HN28_P15_E02_S338_comb	0.649147439	0.469003639	G2_M	0.37952951060334	2	0.532642676004338	High
HN28_P15_F09_S357_comb	0.672355006	0.324011074	G2_M	0.464107675400023	1	0.27526248594617	Low
HN28_P3P4_A06_S6_comb	0.71112319	0.35367387	NonCycling	0.380669276357525	1	0.27526248594617	Low
HN28_P3P4_A09_S9_comb	0.621492851	0.302219151	G2_M	0.493754510113666	1	0.27526248594617	Low
HN28_P3P4_D01_S37_comb	0.61846875	0.141547939	NonCycling	0.456410718357598	1	0.27526248594617	Low
HN28_P3P4_D07_S43_comb	0.714719015	0.327834502	G2_M	0.353133284062212	1	0.27526248594617	Low
HN28_P3P4_H01_S85_comb	0.773109675	0.546190524	G2_M	0.263078317464312	2	0.532642676004338	High
HN28_P3P4_H04_S88_comb	0.639335706	0.231590755	NonCycling	0.32518124494244	1	0.27526248594617	Low
HN28_P5_B09_S213_comb	0.553679638	0.507452932	NonCycling	0.30917845641875	2	0.532642676004338	High
HN28_P5_E07_S247_comb	0.660871569	0.224086097	NonCycling	0.418239709379236	1	0.27526248594617	Low
HN28_P5_F10_S262_comb	0.636428147	0.123044636	NonCycling	0.373100437724797	1	0.27526248594617	Low
HN28_P5_F11_S263_comb	0.695735118	0.68118963	G2_M	0.406232861224743	2	0.532642676004338	High
HN28_P5_F12_S264_comb	0.667816118	0.26254646	NonCycling	0.27595401348661	1	0.27526248594617	Low
HN28_P5_G05_S269_comb	0.627028866	0.243460713	NonCycling	0.323733033193269	1	0.27526248594617	Low
HN28_P5_H02_S278_comb	0.687486322	0.306244584	NonCycling	0.317157072860302	1	0.27526248594617	Low
HN28_P6_H09_S189_comb	0.540987545	0.184147484	NonCycling	0.372689190370596	1	0.27526248594617	Low
HNSCC_combo1_HNSCC_ComboP1_B03	0.777388064	0.607820686	G1_S	0.326918689532613	2	0.532642676004338	High
HNSCC_combo1_HNSCC_ComboP1_C04	0.400207347	0.137446452	NonCycling	0.45810479709366	1	0.27526248594617	Low
HNSCC_combo1_HNSCC_ComboP1_C06	0.698606818	0.384826327	G2_M	0.430605935734814	1	0.27526248594617	Low
HNSCC_combo1_HNSCC_ComboP1_D03	0.4833778	0.146674799	NonCycling	0.468558400871949	1	0.27526248594617	Low
HNSCC_combo1_HNSCC_ComboP1_D06	0.414759445	0.190299716	NonCycling	0.59113876702293	1	0.27526248594617	Low
HNSCC_combo1_HNSCC_ComboP1_D08	0.487128075	0.368080671	NonCycling	0.453199168895957	1	0.27526248594617	Low
HNSCC_combo1_HNSCC_ComboP1_E08	0.557793591	0.419417617	NonCycling	0.481924959626157	2	0.532642676004338	High
HNSCC_combo1_HNSCC_ComboP1_F04	0.330943267	0.23444548	NonCycling	0.481320589672165	1	0.27526248594617	Low
HNSCC_combo1_HNSCC_ComboP1_G04	0.413271834	0.299946507	NonCycling	0.462562259607471	1	0.27526248594617	Low
HNSCC12_p11_HNSCC12_P11_F12	0.889759401	0.723648513	G1_S	0.273427880480478	2	0.532642676004338	High
HNSCC12_p11_HNSCC12_P11_H12	0.505637148	0.30677265	NonCycling	0.257373845760483	1	0.27526248594617	Low
HNSCC13_p1_HNSCC13_P1_B02	0.702729134	0.222401268	G2_M	0.366862655430603	1	0.27526248594617	Low
HNSCC13_p1_HNSCC13_P1_B12	0.396844989	0.125235204	NonCycling	0.508990437554431	1	0.27526248594617	Low
HNSCC13_p1_HNSCC13_P1_D11	0.686249863	0.595176972	G1_S	0.377814526345064	2	0.532642676004338	High
HNSCC13_p19_HNSCC13_P19_E06	0.735989794	0.564940606	G2_M	0.411350822864158	2	0.532642676004338	High
HNSCC16_P2_E06_S54_comb	0.512542576	0.277421999	NonCycling	0.507710055917373	1	0.27526248594617	Low
HNSCC16_P2_E11_S59_comb	0.448533546	0.277549549	NonCycling	0.611838251016889	1	0.27526248594617	Low
HNSCC16_P4_HNSCC16_P4_A11	0.639036539	0.200036881	G2_M	0.404119781121556	1	0.27526248594617	Low
HNSCC16_P4_HNSCC16_P4_C12	0.53781372	0.428935976	NonCycling	0.432780754313981	2	0.532642676004338	High
HNSCC16_P4_HNSCC16_P4_D06	0.458070097	0.329055608	NonCycling	0.487327837279066	1	0.27526248594617	Low
HNSCC16_P4_HNSCC16_P4_D12	0.679883603	0.639452032	G2_M	0.416996465263339	2	0.532642676004338	High
HNSCC16_P4_HNSCC16_P4_F01	0.411623195	0.296886796	NonCycling	0.497922038913029	1	0.27526248594617	Low
HNSCC16_P4_HNSCC16_P4_F04	0.614046759	0.195732168	NonCycling	0.304518913572965	1	0.27526248594617	Low
HNSCC16_P4_HNSCC16_P4_F06	0.365303752	0.131853514	NonCycling	0.452721104785776	1	0.27526248594617	Low
HNSCC16_P4_HNSCC16_P4_F09	0.488186897	0.241199797	NonCycling	0.476334523882926	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_A01	0.442543465	0.294828871	NonCycling	0.435760781839362	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_A04	0.477224385	0.267869217	NonCycling	0.508391941938926	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_A08	0.541677573	0.201578807	NonCycling	0.399647575655501	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_B04	0.610868245	0.344151204	NonCycling	0.35766473697551	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_B06	0.569089876	0.36126891	NonCycling	0.551899318009084	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_B11	0.503172359	0.278184983	NonCycling	0.460943403888888	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_C09	0.480039711	0.145183349	NonCycling	0.481364660131981	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_D01	0.656615828	0.523288802	G2_M	0.352346477714936	2	0.532642676004338	High
HNSCC16_P5_HNSCC16_P5_F04	0.488498681	0.178760838	NonCycling	0.451955443847839	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_H01	0.647587501	0.483746411	NonCycling	0.354347410631481	2	0.532642676004338	High
HNSCC16_P5_HNSCC16_P5_H05	0.517216955	0.0834746	G2_M	0.326451891109354	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_H09	0.359772182	0.314224427	NonCycling	0.498534145318188	1	0.27526248594617	Low
HNSCC16_P5_HNSCC16_P5_H12	0.317730989	0.188072508	NonCycling	0.415094302468794	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_A04	0.756699101	0.644511196	G1_S	0.316230328349554	2	0.532642676004338	High
HNSCC16_P7_HNSCC16_P7_A12	0.546808181	0.349095683	NonCycling	0.510017547292372	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_B02	0.374851676	0.349587851	NonCycling	0.52820253186431	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_B10	0.700267002	0.388085614	G2_M	0.463503174961843	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_C05	0.449713671	0.289183516	NonCycling	0.410490142847714	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_C12	0.572726985	0.37279796	NonCycling	0.336231920873898	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_D02	0.628500253	0.176224155	G2_M	0.474901543842408	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_D08	0.643403457	0.330742396	NonCycling	0.320221763986401	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_E05	0.462277811	0.27111483	NonCycling	0.43561875552385	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_E07	0.605737802	0.520400885	NonCycling	0.42552145208136	2	0.532642676004338	High
HNSCC16_P7_HNSCC16_P7_E09	0.664224672	0.538706933	G1_S	0.356424168245119	2	0.532642676004338	High
HNSCC16_P7_HNSCC16_P7_E10	0.794965215	0.686490153	G1_S	0.314766525036367	2	0.532642676004338	High
HNSCC16_P7_HNSCC16_P7_H01	0.453732067	0.337445511	NonCycling	0.496994775684802	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_H03	0.533461634	0.351327707	NonCycling	0.46054446800772	1	0.27526248594617	Low
HNSCC16_P7_HNSCC16_P7_H04	0.401510814	0.236258295	NonCycling	0.42176863653598	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_A02	0.576840778	0.422582283	NonCycling	0.336266573715035	2	0.532642676004338	High
HNSCC17_P1_HNSCC17_P1_A03	0.412169382	0.215413302	NonCycling	0.374400681184623	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_A04	0.515005379	0.244402605	NonCycling	0.422380452594512	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_A05	0.475918	0.208010686	NonCycling	0.417686040861471	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_A07	0.427771425	0.277721384	NonCycling	0.366266186600597	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_A10	0.635174633	0.244596594	G2_M	0.411867128402443	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_B01	0.546687971	0.224711169	NonCycling	0.42816508779957	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_B03	0.482133499	0.23033583	NonCycling	0.553301084050189	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_B04	0.580347622	0.238041795	NonCycling	0.448316456800806	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_B05	0.56101984	0.232013712	NonCycling	0.384774969699056	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_B07	0.437049288	0.26313875	NonCycling	0.436287115361699	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_B08	0.404300569	0.223208295	NonCycling	0.40337192359895	1	0.27526248594617	Low
HNSCC17_P1_HNSCC17_P1_B10	0.72003714	0.570887067	G1_S	0.435541225404478	2	0.532642676004338	High
